datetime,open,high,low,close
2026-08-09 00:10:00+00:00,4342.26233,4342.41191,4342.2168,4342.35807
2026-08-09 00:15:00+00:00,4342.26233,4342.45381,4342.19746,4342.35628
2026-08-09 00:20:00+00:00,4342.26233,4342.43498,4342.23248,4342.23248
2026-08-09 00:25:00+00:00,4342.26233,4342.45771,4342.20264,4342.31491
2026-08-09 00:30:00+00:00,4342.26233,4342.40282,4342.2233,4342.35642
2026-08-09 00:35:00+00:00,4342.26233,4342.45247,4342.19723,4342.36044
2026-08-09 00:40:00+00:00,4342.26233,4342.42807,4342.23437,4342.23437
2026-08-09 00:45:00+00:00,4342.26233,4342.45742,4342.20095,4342.3203
2026-08-09 00:50:00+00:00,4342.26233,4342.39315,4342.23061,4342.35429
2026-08-09 00:55:00+00:00,4342.26233,4342.45522,4342.19803,4342.36426
2026-08-09 01:00:00+00:00,4342.26233,4342.42037,4342.23674,4342.23674
2026-08-09 01:05:00+00:00,4342.26233,4342.45612,4342.1987,4342.3255
2026-08-09 01:10:00+00:00,4342.26233,4342.38867,4342.23868,4342.3517
2026-08-09 01:15:00+00:00,4342.26233,4342.45697,4342.19983,4342.26178
2026-08-09 01:20:00+00:00,4342.26233,4342.41194,4342.23955,4342.23955
2026-08-09 01:25:00+00:00,4342.26233,4342.45382,4342.19746,4342.33045
2026-08-09 01:30:00+00:00,4342.26233,4342.39858,4342.24744,4342.34867
2026-08-09 01:35:00+00:00,4342.26233,4342.45771,4342.20263,4342.25696
2026-08-09 01:40:00+00:00,4342.26233,4342.40286,4342.2428,4342.2428
2026-08-09 01:45:00+00:00,4342.26233,4342.45246,4342.19723,4342.33513
2026-08-09 01:50:00+00:00,4342.26233,4342.40794,4342.25683,4342.34521
2026-08-09 01:55:00+00:00,4342.26233,4342.45743,4342.20097,4342.25243
2026-08-09 02:00:00+00:00,4342.26233,4342.39319,4342.24254,4342.24645
2026-08-09 02:05:00+00:00,4342.26233,4342.45521,4342.19802,4342.3395
2026-08-09 02:10:00+00:00,4342.26233,4342.41667,4342.26233,4342.34136
2026-08-09 02:15:00+00:00,4342.26233,4342.45613,4342.19871,4342.24824
2026-08-09 02:20:00+00:00,4342.26233,4342.38863,4342.23415,4342.25049
2026-08-09 02:25:00+00:00,4342.26233,4342.45696,4342.19982,4342.34351
2026-08-09 02:30:00+00:00,4342.26233,4342.4247,4342.26128,4342.33715
